mr,ref
"inform(name[SpellForce 3], genres[real-time strategy, role-playing], player_perspective[bird view], has_multiplayer[yes], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","If you want a real-time strategy, role-player with bird view perspective and multiplayer, you should try SpellForce 3. It is only for PC and is available on Steam. There is no release for Linux or Mac, though."
"inform(name[Ori and the Blind Forest], release_year[2015], rating[excellent], genres[adventure, platformer, puzzle], player_perspective[side view], platforms[Xbox, PC], has_linux_release[no], has_mac_release[no])","Ori and the Blind Forest was released in 2015, and it is an excellent side view adventure, puzzle platformer. It runs on Xbox and PC, but it is not out on Linux or Mac."
"inform(name[MotorStorm: Apocalypse], release_year[2011], rating[poor], genres[vehicular combat], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation])","MotorStorm: Apocalypse came out in 2011. The game, involving third person vehicular combat, was released only on the PlayStation. Although the game supports multiplayer, the reviews were poor."
"inform(name[Madden NFL 15], release_year[2014], rating[average], genres[simulation, sport], player_perspective[bird view, third person], has_multiplayer[yes], platforms[PlayStation, Xbox])",Madden NFL 15 can be played on PlayStation and Xbox. It is a sport simulation game that was released in 2014. It can be played multiplayer in the bird view and third person perspective. Most players rate it as average.
"inform(name[BioShock], release_year[2007], developer[2K Boston], genres[action-adventure, role-playing, shooter], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[yes])","BioShock is an action-adventure, role-playing shooter that was developed by 2K Boston. It was released in 2007 for the PlayStation, Xbox, and PC. It is available on Steam and has a Mac release, but it doesn't have a Linux release."
"inform(name[Rollcage], release_year[1999], rating[average], genres[action, driving/racing])","For an action racing game, I highly recommend Rollcage. It has an average score when it comes to user ratings, but do not let this discourage you. Taking into consideration that the year was 1999 when Rollcage was released, it is standing the test of time."
"inform(name[Stronghold 2], developer[Firefly Studios], rating[average], genres[real-time strategy, simulation], player_perspective[bird view], has_multiplayer[yes])",Stronghold 2 by Firefly Studios is an average real-time strategy simulation with a multiplayer mode. Every player plays the game from a bird view perspective.
"inform(name[Need for Speed: Most Wanted], release_year[2005], genres[driving/racing], has_multiplayer[yes])",Need for Speed: Most Wanted is a racing game originally released in 2005. The game has multiplayer support.
"inform(name[Metroid Prime Pinball], esrb[E (for Everyone)], rating[average], genres[pinball, puzzle], has_multiplayer[yes], platforms[Nintendo])","Metroid Prime Pinball is an average-rated pinball, puzzle game with multiplayer. It is rated E (for Everyone), and is available for Nintendo."
"inform(name[God of War], rating[excellent], genres[action-adventure, platformer, role-playing], player_perspective[third person], has_multiplayer[no], platforms[PlayStation])","If you like single-player role-playing games, God of War is an excellent third person action-adventure platformer. It runs exclusively on PlayStation."
"inform(name[Dirt: Showdown], rating[average], genres[driving/racing, sport])",Dirt: Showdown is a decent sport racing game.
"inform(name[Assassin's Creed Chronicles: India], rating[poor], genres[action-adventure, platformer], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","Assassin's Creed Chronicles: India is an action-adventure platformer game. Though it's received some poor ratings and doesn't have a Mac or Linux release, it can be played on PlayStation, Xbox as well as PC."
"inform(name[Quantum Break], release_year[2016], developer[Remedy Entertainment], rating[average], genres[adventure, shooter], player_perspective[third person])","If you're looking for the average third person adventure-shooter, you should try Remedy Entertainment's Quantum Break. It came out in 2016."
"inform(name[Trivial Pursuit], release_year[2009], rating[poor], genres[trivia/board game], platforms[PlayStation, Nintendo])",Trivial Pursuit came out in 2009 for PlayStation and Nintendo. It is a poor trivia/board game.
"inform(name[The Room], rating[excellent], genres[indie, point-and-click, puzzle])",The Room is an excellent indie point-and-click game with fun puzzle solving.
"inform(name[Little Nightmares], rating[good], genres[adventure, platformer, puzzle], player_perspective[side view], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[no])","Little Nightmares is a good adventure and puzzle platformer with a side view perspective. It was released on PlayStation, Xbox, and PC, and it is available on Steam. It has a Linux release, but not a Mac release."
"inform(name[The Elder Scrolls Online], rating[average], genres[MMORPG], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[yes])","The Elder Scrolls Online is an average-rated MMORPG. It is available on Steam, and is on PlayStation, Xbox, and PC. It is released for Mac, but not for Linux."
"inform(name[Little Nightmares], developer[Tarsier Studios], genres[adventure, platformer, puzzle], platforms[PlayStation, Xbox, PC], has_linux_release[yes], has_mac_release[no])","Little Nightmares is an adventure puzzle game by Tarsier Studios. The platformer game is available on PlayStation, Xbox, and PC. The title is not available on Mac, but can be played on Linux."
"inform(name[Driver], release_year[1999], rating[average], genres[driving/racing, simulation])",Driver is a driving/racing simulator released in 1999 to average reviews.
"inform(name[Dance Dance Revolution Universe 3], release_year[2008], esrb[E (for Everyone)], rating[poor], genres[music], has_multiplayer[yes], platforms[Xbox])",Dance Dance Revolution Universe 3 is a 2008 music game for Xbox. It is a multiplayer game for everyone with a poor rating.
"inform(name[The Room], developer[Fireproof Games], rating[excellent], genres[indie, point-and-click, puzzle])",The Room is an excellent puzzle game developed by Fireproof Games. It's an indie point-and-click game that you should definitely try.
"inform(name[Warcraft III: Reign of Chaos], rating[excellent], genres[real-time strategy], player_perspective[bird view])",Warcraft III: Reign of Chaos is an excellent real-time strategy game played in bird view perspective.
"inform(name[Life is Strange], genres[role-playing], player_perspective[third person], has_multiplayer[no], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Life is Strange is a single-player third person role-playing game. It runs on PlayStation, Xbox, and PC, and it is supported by Mac and Linux. It is also available on Steam."
"inform(name[Uncharted 4: A Thief's End], developer[Naughty Dog], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])","Uncharted 4: A Thief's End was a game made by Naughty Dog exclusively for PlayStation. The game is a third person, action-adventure shooter with excellent reviews."
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], release_year[1999], rating[good], genres[turn-based strategy], player_perspective[bird view])",Heroes of Might and Magic III: The Restoration of Erathia is a good turn-based strategy that was released in 1999 with a bird view perspective.
"inform(name[NHL 15], release_year[2014], rating[average], genres[simulation, sport], player_perspective[bird view])",NHL 15 is an average sport simulation game from 2014. The game is played from a bird view perspective.
"inform(name[Ori and the Blind Forest], genres[adventure, platformer, puzzle], has_multiplayer[no])","If you want an adventure puzzle platformer with no multiplayer, try Ori and the Blind Forest."
"inform(name[Guitar Hero: Smash Hits], genres[music], player_perspective[first person], has_multiplayer[yes])",Guitar Hero: Smash Hits is a first person music game that has multiplayer.
"inform(name[Small World 2], developer[Days of Wonder], genres[indie, trivia/board game], has_multiplayer[yes], platforms[PC], available_on_steam[yes])",Small World 2 is a multiplayer trivia/board game available on Steam for PC. It was released by the indie developer Days of Wonder.
"inform(name[Metro 2033], release_year[2010], genres[action, role-playing, shooter], has_multiplayer[no])",Metro 2033 is a role-playing action shooter game released in 2010. The game has no multiplayer in it.
"inform(name[Mirror's Edge Catalyst], developer[EA Digital Illusions CE], rating[average], genres[action-adventure, fighting])",Mirror's Edge Catalyst is a first person action-adventure fighting game developed by EA Digital Illusions CE. It received average ratings among fans.
"inform(name[SpellForce 3], release_year[2017], genres[real-time strategy, role-playing])","SpellForce 3 is a real-time strategy, role-playing game that came out in 2017."
"inform(name[Hellblade: Senua's Sacrifice], genres[adventure, hack-and-slash, indie], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Hellblade: Senua's Sacrifice is a third person indie adventure, hack-and-slash game. It is available on PlayStation, Xbox, and PC, and it is available on Steam. It does not have a version for Mac or Linux."
"inform(name[Age of Wonders II: The Wizard's Throne], release_year[2002], rating[poor], genres[role-playing, turn-based strategy], player_perspective[bird view], has_multiplayer[yes])",Age of Wonders II: The Wizard's Throne was a poor role-playing turn-based strategy game from 2002. It has a bird view perspective and you can play multiplayer.
"inform(name[Need for Speed: The Run], rating[average], genres[driving/racing], player_perspective[first person, third person], has_multiplayer[yes])",Need for Speed: The Run is an average rated driving/racing game played in first or third person modes. It also has multiplayer capabilities.
"inform(name[Alan Wake's American Nightmare], rating[poor], genres[action-adventure, shooter], has_multiplayer[no])",Alan Wake's American Nightmare is a poor action-adventure shooter without multiplayer.
"inform(name[Super Mario World], release_year[1990], developer[Nintendo EAD], rating[excellent], genres[platformer], player_perspective[side view], platforms[Nintendo])",Super Mario World is an amazing side view platformer. Nintendo EAD really outdid themselves in 1990 when they made this game for the Nintendo consoles.
"inform(name[Call of Duty: Advanced Warfare], rating[average], genres[action, shooter], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","Call of Duty: Advanced Warfare is a first person action-shooter with average ratings. It runs on PlayStation, Xbox, and PC, and it is available on Steam."
"inform(name[Ori and the Blind Forest], genres[adventure, platformer, puzzle], has_multiplayer[no], platforms[Xbox, PC])",Ori and the Blind Forest is an adventure puzzle platformer for Xbox and PC that has no multiplayer function.
"inform(name[NBA 2K16], release_year[2015], genres[sport], player_perspective[third person], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","NBA 2K16 was released for PlayStation, Xbox, and PC in 2015, but has no Linux or Mac release. It is a third person sports game."
"inform(name[Mafia], genres[driving/racing, fighting, shooter], has_multiplayer[no], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","If you are into fighting games, Mafia is a single-player driving shooter. It is available on PlayStation, Xbox, and PC, but it is not on Mac or Linux. You can grab it on Steam."
"inform(name[The Vanishing of Ethan Carter], release_year[2014], esrb[M (for Mature)], rating[average], genres[adventure, indie])","The Vanishing of Ethan Carter was mostly just okay. It's your average indie-adventure title that came out in 2014. Be aware it's not a children's game, and has an M-rating."
"inform(name[Guitar Hero: Smash Hits], release_year[2009], rating[poor], genres[music], player_perspective[first person], platforms[PlayStation, Xbox, Nintendo])","Guitar Hero: Smash Hits is a 2009 first person music game for PlayStation, Xbox, and Nintendo. It has poor ratings."
"inform(name[The Vanishing of Ethan Carter], release_year[2014], genres[adventure, indie], has_multiplayer[no], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","The Vanishing of Ethan Carter is an indie adventure game that was released in 2014 for PlayStation, Xbox, and PC. It is available on Steam. It was not released on Linux or Mac, and it does not have a multiplayer mode."
"inform(name[Need for Speed: The Run], release_year[2011], esrb[T (for Teen)], genres[driving/racing])",Need for Speed: The Run is a 2011 racing game that is rated T for teen audiences.
"inform(name[The Elder Scrolls Online], release_year[2014], developer[ZeniMax Online Studios], esrb[M (for Mature)], genres[MMORPG], player_perspective[first person, third person])",The Elder Scrolls Online is a MMORPG that came out in 2014 from ZeniMax Online Studios. The game is rated M (for Mature) and offers both first person and third person perspectives.
"inform(name[Uncharted 4: A Thief's End], developer[Naughty Dog], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[yes], platforms[PlayStation])",Uncharted 4: A Thief's End is a multiplayer third person action-adventure shooter. It was developed by Naughty Dog for PlayStation.
"inform(name[Max Payne], release_year[2001], developer[Remedy Entertainment], esrb[M (for Mature)], rating[good], genres[action-adventure, shooter], platforms[PlayStation, Xbox, PC])","Max Payne was developed by Remedy Entertainment. It was released in 2001 with an M (for Mature) rating. It's a good action-adventure shooter game for PlayStation, Xbox, and PC."
"inform(name[TrackMania Turbo], rating[good], genres[arcade, driving/racing], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","If you like arcade driving/racing games, try out TrackMania Turbo. It has received good ratings and is available on PlayStation, Xbox, and PC. You can find it on Steam, but there is no Linux or Mac release."
"inform(name[Metal Gear Solid 3: Snake Eater], release_year[2004], rating[excellent], genres[action-adventure, shooter, tactical], player_perspective[bird view, first person, third person], platforms[PlayStation])","A great game to play is the 2004 action-adventure tactical shooter, Metal Gear Solid 3: Snake Eater. You can play from bird view, first person or third person perspective. It can be played on PlayStation only."
"inform(name[Never Alone], genres[adventure, indie, platformer], player_perspective[side view])","Let's play Never Alone, it's an indie adventure-platformer with a side view perspective."
"inform(name[Need for Speed: Payback], release_year[2017], developer[Ghost Games], esrb[T (for Teen)], rating[poor], genres[driving/racing])",Need for Speed: Payback by Ghost Games is a poorly-rated racing game. It is rated T (for Teen) and was released in 2017.
"inform(name[SpellForce 3], rating[poor], genres[real-time strategy, role-playing], player_perspective[bird view], has_multiplayer[yes])","SpellForce 3 is poorly-rated real-time strategy, role-playing game in bird view. It has multiplayer mode."
"inform(name[Horizon: Zero Dawn], rating[excellent], genres[action-adventure, role-playing, shooter], platforms[PlayStation])","Horizon: Zero Dawn is an action-adventure role-playing shooter for PlayStation, and it has excellent ratings."
"inform(name[Super Mario World], release_year[1990], developer[Nintendo EAD], rating[excellent], genres[platformer], player_perspective[side view], platforms[Nintendo])","Super Mario World is a great example of a traditional side view platformer. It came out in 1990 on Nintendo, and was developed by Nintendo EAD."
"inform(name[Warcraft III: Reign of Chaos], developer[Blizzard Entertainment], genres[real-time strategy], platforms[PC], available_on_steam[no])",Warcraft III: Reign of Chaos was developed by Blizzard Entertainment. It's a real-time strategy game for PC. It isn't available on Steam.
"inform(name[Need for Speed: Shift], developer[Slightly Mad Studios], esrb[E (for Everyone)], genres[driving/racing, simulation], player_perspective[first person, third person], has_multiplayer[yes])",Need for Speed: Shift by Slightly Mad Studios is a driving sim rated E (for Everyone). There's first and third person views and multiplayer.
"inform(name[Tom Clancy's The Division], release_year[2016], rating[average], genres[role-playing, shooter, tactical], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Tom Clancy's The Division is an average role-playing tactical shooter that came out in 2016 for PlayStation, Xbox and PC. The game is not available on either Mac or Linux, but can be played from Steam."
"inform(name[Life is Strange], rating[good], genres[role-playing], player_perspective[third person])","If you like fun third person role-playing games, then you should try Life is Strange."
"inform(name[World of Warcraft], release_year[2004], genres[adventure, MMORPG], platforms[PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","When I think of any adventure game, especially MMORPG, I think World of Warcraft is the way to go. It's been out since 2004 but, unfortunately, it is only available for PC and Mac users. It does not run on Linux systems, and you won't find it on Steam either."
"inform(name[Undertale], release_year[2015], rating[excellent], genres[adventure, indie, role-playing], player_perspective[bird view])",Undertale is an excellent bird view adventure RPG. It is an indie title that was released in 2015.
"inform(name[Bus Driver], esrb[E (for Everyone)], rating[poor], genres[driving/racing, indie, simulation], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Bus Driver is a poor indie driving simulation game. The game is rated E (for Everyone) and is for PC only. This game is available on Steam, but not for Mac or Linux."
"inform(name[Assassin's Creed Chronicles: India], release_year[2016], rating[poor], genres[action-adventure, platformer], has_multiplayer[no])","An example of a poorly received action-adventure platformer is Assassin's Creed Chronicles: India. It was made in 2016, and it doesn't have a multiplayer option."
"inform(name[SpellForce 3], developer[Grimlore Games], rating[poor], genres[real-time strategy, role-playing], player_perspective[bird view])","SpellForce 3, developed by Grimlore Games, is a poor role-playing, real-time strategy with bird view perspective."
"inform(name[Warcraft III: Reign of Chaos], developer[Blizzard Entertainment], rating[excellent], genres[real-time strategy], player_perspective[bird view])",Blizzard Entertainment created an excellent real-time strategy game called Warcraft III: Reign of Chaos that also provides bird view.
"inform(name[The Vanishing of Ethan Carter], release_year[2014], esrb[M (for Mature)], rating[average], genres[adventure, indie])",The Vanishing of Ethan Carter from 2014 is rated M. It's an average indie adventure game.
"inform(name[Mafia], release_year[2002], esrb[M (for Mature)], rating[excellent], genres[driving/racing, fighting, shooter], player_perspective[third person])","If you like games with fighting, Mafia is an excellent game that is rated M (for Mature). It is a third person driving/racing shooter from 2002."
"inform(name[Crysis], release_year[2007], genres[action-adventure, shooter], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Crysis was released in 2007. It's a first person action-adventure shooter game. You can get it for PlayStation, Xbox, and PC, and it's also available on Steam, though Linux and Mac support was dropped."
"inform(name[World of Warcraft: Battle for Azeroth], exp_release_date[August 14, 2018], developer[Blizzard Entertainment], genres[MMORPG], player_perspective[third person], platforms[PC])","Blizzard Entertainment has a new MMORPG coming out August 14, 2018 for PC. It's called World of Warcraft: Battle for Azeroth and is a third person perspective game."
"inform(name[Ori and the Blind Forest], genres[adventure, platformer, puzzle], has_multiplayer[no])",Ori and the Blind Forest is a single-player adventure puzzle platformer.
"inform(name[Mirror's Edge Catalyst], release_year[2016], developer[EA Digital Illusions CE], esrb[T (for Teen)], rating[average], genres[action-adventure, fighting], player_perspective[first person])","Mirror's Edge Catalyst was released in 2016 by EA Digital Illusions CE. It is an okay T-rated action-adventure game that uses fighting style for the platforming gameplay, presented entirely from a first person perspective."
"inform(name[Skyforge], rating[poor], genres[adventure, hack-and-slash, MMORPG], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","Skyforge is an adventure hack-and-slash MMORPG that received poor ratings from players. The game is available on PlayStation, Xbox, and PC with no Linux or Mac release."
"inform(name[Portal 2], genres[platformer, puzzle, shooter], player_perspective[first person], platforms[PlayStation, PC], available_on_steam[yes])",Portal 2 is a platforming first person shooter with puzzle elements. It was released on PlayStation and PC and is available on Steam.
"inform(name[Skyforge], developer[Allods Online], rating[poor], genres[adventure, hack-and-slash, MMORPG], platforms[PlayStation, Xbox, PC])","Skyforge is a lackluster adventure hack-and-slash MMORPG by Allods Online. It's available on PlayStation, Xbox and PC."
"inform(name[Metal Gear Solid 3: Snake Eater], release_year[2004], esrb[M (for Mature)], rating[excellent], genres[action-adventure, shooter, tactical], player_perspective[bird view, first person, third person], has_multiplayer[no])","If you like action-adventure tactical shooter games, then you should try the 2004 video game called Metal Gear Solid 3: Snake Eater that uses the first person, third person, and bird view perspectives. Unfortunately, it does not have multiplayer. It has an excellent rating and is rated M (for Mature)."
"inform(name[Might & Magic: Heroes VI], developer[Black Hole Entertainment], rating[average], genres[role-playing, turn-based strategy], platforms[PC], has_linux_release[no], has_mac_release[no])","Might & Magic: Heroes VI by Black Hole Entertainment is a role-playing, turn-based strategy game for PC. It has average ratings and is not supported on Mac or Linux."
"inform(name[Crysis], developer[Crytek Frankfurt], esrb[M (for Mature)], genres[action-adventure, shooter], player_perspective[first person], has_multiplayer[yes])",Crysis is an action-adventure first person shooter by Crytek Frankfurt. This game has an M (for Mature) rating and can be played multiplayer.
"inform(name[Far Cry 3], genres[action-adventure, shooter], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Far Cry 3 is an action-adventure shooter on PlayStation, Xbox, and PC. It is not supported on Linux or Mac, but it is available on Steam."
"inform(name[Assassin's Creed II], developer[Ubisoft Montreal], esrb[M (for Mature)], rating[good], genres[action-adventure, platformer], has_multiplayer[no])","Assassin's Creed II is a good action-adventure platformer, but does not have a multiplayer. It was developed by Ubisoft Montreal and is rated M (for Mature)."
"inform(name[Spider-Man], exp_release_date[September 7, 2018], genres[action-adventure], player_perspective[third person], platforms[PlayStation])","Spider-Man will be released on September 7, 2018. It's a third person action-adventure game for PlayStation."
"inform(name[Super Bomberman], release_year[1993], rating[average], genres[action, strategy], platforms[Nintendo, PC], available_on_steam[no])",Super Bomberman is considered an average action strategy game for Nintendo and PC that was released in 1993. It is not currently available on Steam.
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], release_year[1999], rating[good], genres[turn-based strategy], has_multiplayer[yes])",Heroes of Might and Magic III: The Restoration of Erathia is a turn-based strategy game from 1999. It has good ratings and a multiplayer mode.
"inform(name[The Last of Us], developer[Naughty Dog], esrb[M (for Mature)], rating[excellent], genres[action-adventure, shooter], player_perspective[third person], platforms[PlayStation])",The Last of Us is an excellent third person action-adventure shooter by Naughty Dog for the PlayStation console. It's rated M (for Mature).
"inform(name[Horizon: Zero Dawn], release_year[2017], esrb[T (for Teen)], genres[action-adventure, role-playing, shooter], player_perspective[third person], has_multiplayer[no], platforms[PlayStation])","Horizon: Zero Dawn is a role-playing third person shooter game from 2017 with a lot of action and adventure. It is a PlayStation exclusive game with no multiplayer options, and it's suitable for teenagers."
"inform(name[Crysis], release_year[2007], genres[action-adventure, shooter], player_perspective[first person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Crysis is an action-adventure first person shooter that was released in 2007 for PlayStation, Xbox, and PC. It's available on Steam, but it doesn't have a Mac or Linux release."
"inform(name[Need for Speed: The Run], release_year[2011], developer[Firebrand Games], genres[driving/racing], player_perspective[first person, third person])",Need for Speed: The Run is a racing game developed by Firebrand Games in 2011. The game offers both first person and third person perspectives.
"inform(name[Super Mario World], release_year[1990], developer[Nintendo EAD], esrb[E (for Everyone)], genres[platformer], player_perspective[side view], has_multiplayer[yes], platforms[Nintendo])",Super Mario World is a 1990 platformer with a side view by Nintendo EAD available for the Nintendo. It has multiplayer and is rated E (for Everyone).
"inform(name[A Way Out], rating[good], genres[action-adventure], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","A Way Out is a good third person action-adventure game for PlayStation, Xbox and PC. It's not on Steam, Linux, or Mac."
"inform(name[Football Manager 2015], release_year[2014], developer[Sports Interactive], genres[simulation, sport, strategy])","Football Manager 2015 is a sport-strategy simulator, released in 2014 by Sports Interactive."
"inform(name[Trivial Pursuit], developer[Electronic Arts], rating[poor], genres[trivia/board game], has_multiplayer[yes])","Trivial Pursuit is a trivia/board game developed by Electronic Arts. The game does offer multiplayer, but was received poorly by critics."
"inform(name[MotorStorm: Apocalypse], release_year[2011], esrb[T (for Teen)], genres[vehicular combat])",MotorStorm: Apocalypse is a vehicular combat game from 2011 that is rated T (for Teen).
"inform(name[The Vanishing of Ethan Carter], genres[adventure, indie], has_multiplayer[no])",The Vanishing of Ethan Carter is an indie adventure game with no multiplayer support.
"inform(name[Age of Empires II: The Age of Kings], genres[real-time strategy], player_perspective[bird view], platforms[PlayStation, PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","Age of Empires II: The Age of Kings is a real-time, bird view strategy game that can be played on PlayStation or PC. While it's not available on Steam and it doesn't have a Linux release, you can play it on Mac."
"inform(name[Metal Gear Solid 3: Snake Eater], release_year[2004], esrb[M (for Mature)], genres[action-adventure, shooter, tactical], has_multiplayer[no])",Metal Gear Solid 3: Snake Eater is a tactical action-adventure shooter with no multiplayer. It is rated M (for Mature) and was released in 2004.
"inform(name[Far Cry 3], release_year[2012], esrb[M (for Mature)], genres[action-adventure, shooter], player_perspective[first person], has_multiplayer[yes])","Far Cry 3 is a multiplayer action-adventure first person shooter. It is rated M (for Mature), and was released in 2012."
"inform(name[The Legend of Zelda: Ocarina of Time], release_year[1998], developer[Nintendo EAD], esrb[E (for Everyone)], rating[excellent], genres[action-adventure, puzzle, role-playing], player_perspective[bird view, third person], has_multiplayer[no])",There's also The Legend of Zelda: Ocarina of Time (rated E) from 1998. This single-player game was made by Nintendo EAD and is an excellent rated action-adventure puzzle RPG. It's views are bird and third.
"inform(name[Metroid Prime Pinball], release_year[2005], developer[Fuse Games], rating[average], genres[pinball, puzzle], has_multiplayer[yes], platforms[Nintendo])","Metroid Prime Pinball was released by Fuse Games for Nintendo consoles in 2005, and features a puzzle pinball gameplay. It received only average reviews, but it has a multiplayer mode."
"inform(name[Assetto Corsa], release_year[2014], genres[driving/racing, simulation, sport], player_perspective[first person, third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[no])","Assetto Corsa is a first and third person sport racing simulation game from 2014. It runs on PlayStation, Xbox, and PC, and it is available on Steam. It does not have a release for Mac but does for Linux."
"inform(name[Madden NFL 15], developer[EA Tiburon], rating[average], genres[simulation, sport], has_multiplayer[yes], platforms[PlayStation, Xbox])","EA Tiburon made Madden NFL 15 and as you might expect it's your average sports simulator. You can pick it up for the big two, Xbox and PlayStation, and play multiplayer through Xbox Live and the PlayStation Network."
"inform(name[Far Cry 3], genres[action-adventure, shooter], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Far Cry 3 is an action-adventure shooter game available for the PlayStation, Xbox, and PC, but not Linux or Mac. You can get it on Steam."
"inform(name[The Vanishing of Ethan Carter], release_year[2014], rating[average], genres[adventure, indie])",The Vanishing of Ethan Carter is an average indie adventure game that came out in 2014.
"inform(name[Need for Speed: The Run], release_year[2011], developer[Firebrand Games], esrb[T (for Teen)], rating[average], genres[driving/racing], has_multiplayer[yes])","If you like driving/racing games with multiplayer, Need for Speed: The Run is an average game. It was released in 2011 by Firebrand Games and is rated T (for Teen)."
"inform(name[Battlefield V], exp_release_date[October 16, 2018], genres[action, shooter], player_perspective[first person], platforms[PlayStation, Xbox, PC])","Battlefield V is an upcoming first person action shooter you can play on most platforms including PlayStation, Xbox, and PC. It will be released on October 16, 2018."
"inform(name[Shadow of the Tomb Raider], exp_release_date[September 14, 2018], developer[Eidos Montréal], genres[adventure, shooter], player_perspective[third person], platforms[PlayStation, Xbox, PC])","Shadow of the Tomb Raider is a third person, adventure, shooter game by the developer Eidos Montréal. It will be released on PlayStation, Xbox, and PC. Its expected release date is September 14, 2018."
"inform(name[The Room], developer[Fireproof Games], rating[excellent], genres[indie, point-and-click, puzzle], has_multiplayer[no])",The Room by Fireproof Games is an indie point-and-click single-player puzzle game. It has excellent ratings.
"inform(name[Outlast II], developer[Red Barrels], esrb[M (for Mature)], rating[average], genres[adventure, indie])",Outlast II by Red Barrels is an indie adventure game with average ratings. It is rated M (for Mature.
"inform(name[The Vanishing of Ethan Carter], release_year[2014], genres[adventure, indie], player_perspective[first person], has_multiplayer[no])","If you enjoy indie adventure games with a first person perspective, try The Vanishing of Ethan Carter. It came out in 2014. It doesn't have multiplayer support."
"inform(name[The Vanishing of Ethan Carter], release_year[2014], developer[The Astronauts], rating[average], genres[adventure, indie], player_perspective[first person], has_multiplayer[no])",The Vanishing of Ethan Carter was developed by The Astronauts and released in 2014. It is a first person indie adventure game. This single-player game received an average rating.
"inform(name[NBA 2K16], release_year[2015], genres[sport], player_perspective[third person], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","NBA 2K16 is a third person sport game that released in 2015 on PlayStation, Xbox, and PC. It has no Linux or Mac versions."
"inform(name[Commandos: Behind Enemy Lines], esrb[T (for Teen)], genres[strategy, tactical], platforms[PC], available_on_steam[yes])","According to the Entertainment and Ratings Board, the tactical and strategy game Commandos: Behind Enemy Lines, is suitable for Teenagers. It is a PC game which is also available on Steam."
"inform(name[Age of Empires II: The Age of Kings], developer[Ensemble Studios], esrb[T (for Teen)], rating[good], genres[real-time strategy], player_perspective[bird view])","Age of Empires II: The Age of Kings is a good real-time strategy game that has a bird view. Ensemble Studios developed it, and it is rated T (for Teen)."
"inform(name[The Legend of Zelda: Ocarina of Time], esrb[E (for Everyone)], genres[action-adventure, puzzle, role-playing], player_perspective[bird view, third person], has_multiplayer[no], platforms[Nintendo])","The Legend of Zelda: Ocarina of Time is an action-adventure role-playing puzzle game available for Nintendo. The game is played in third person and bird's view and is rated E, but doesn't have multiplayer."
"inform(name[Need for Speed: Payback], release_year[2017], rating[poor], genres[driving/racing], platforms[PlayStation, Xbox, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Need for Speed: Payback is a poor driving/racing game that released in 2017 on PlayStation, Xbox, and PC. It isn't available on Steam and doesn't have a Linux or Mac version."
"inform(name[Need for Speed: Payback], esrb[T (for Teen)], rating[poor], genres[driving/racing], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","A poor multiplayer driving/racing game is Need For Speed: Payback. It was released on PlayStation and Xbox. It was on PC, too, but not on Mac, nor Linux. It is rated T (for Teen)."
