mr,ref
"inform(name[Never Alone], release_year[2014], rating[average], genres[adventure, indie, platformer], has_multiplayer[yes])",Never Alone is an indie adventure platformer that came out in 2014. You can play it in multiplayer. It only received average reviews.
"inform(name[Super Mario World], developer[Nintendo EAD], esrb[E (for Everyone)], rating[excellent], genres[platformer], player_perspective[side view], platforms[Nintendo])","Super Mario World is an excellent side view platformer. It is made by Nintendo EAD for Nintendo, and it is rated E (for Everyone)."
"inform(name[Alan Wake's American Nightmare], developer[Remedy Entertainment], esrb[T (for Teen)], rating[poor], genres[action-adventure, shooter], player_perspective[third person], has_multiplayer[no])","Alan Wake's American Nightmare is a poorly rated single-player third person action-adventure shooter. Remedy Entertainment developed the game, and it is rated T (for Teen)."
"inform(name[Guitar Hero: Smash Hits], rating[poor], genres[music], player_perspective[first person], platforms[PlayStation, Xbox, Nintendo])","Guitar Hero: Smash Hits is a poor first person music game. The game is available on either PlayStation, Xbox, or Nintendo."
"inform(name[Grand Theft Auto V], developer[Rockstar North], genres[action-adventure, driving/racing, shooter], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","The action-adventure packed shooter game, Grand Theft Auto V, was developed by Rockstar North for PlayStation, Xbox, and PC. It is a multiplayer driving game, but has no Linux or Mac release."
"inform(name[Little Nightmares], release_year[2017], rating[good], genres[adventure, platformer, puzzle], has_multiplayer[no])",An adventure platformer puzzle game with good ratings is Little Nightmares. It was released recently in 2017 and does not have multiplayer.
"inform(name[Small World 2], rating[poor], genres[indie, trivia/board game], platforms[PC], has_linux_release[yes], has_mac_release[yes])",Small World 2 is a poorly-rated indie trivia/board game released for PC. It also has releases for both Linux and Mac.
"inform(name[Life is Strange], developer[Dontnod Entertainment], genres[role-playing], platforms[PlayStation, Xbox, PC], has_linux_release[yes], has_mac_release[yes])","Life is Strange is a role-playing game that was developed by Dontnod Entertainment for the PlayStation, Xbox, and PC. It was also released for Linux and Mac."
"inform(name[Worms: Reloaded], rating[average], genres[action, platformer, strategy], has_multiplayer[yes], platforms[PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","An action platforming strategy game you can play in multiplayer mode with your friends is Worms: Reloaded. It has average reviews, but you can get it on Steam for PC, Mac, or Linux."
"inform(name[NBA 2K19], exp_release_date[September 11, 2018], genres[sport], platforms[PlayStation, Xbox, Nintendo Switch, PC])","NBA 2K19 is an NBA basketball sports games poised to be released across all platforms on September 11, 2018. To be specific, this game will be released for PlayStation, Xbox, Nintendo Switch, and PC."
"inform(name[Layers of Fear], genres[adventure, indie, point-and-click], player_perspective[first person], platforms[PlayStation, Xbox, Nintendo Switch, PC], available_on_steam[yes])","Layers of Fear is an indie first person adventure point-and-click game. It's available on Steam, and you can play it on PlayStation, Xbox, Nintendo Switch, or PC."
"inform(name[Metro Exodus], exp_release_date[2019], genres[adventure, shooter, tactical], player_perspective[first person])",Metro Exodus is an adventure tactical first person shooter expected to be released sometime in 2019.
"inform(name[Final Fantasy VII], rating[excellent], genres[adventure, role-playing], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[no])","Gamers who enjoy role-playing adventures will love the excellent Final Fantasy VII whether they game on the PC or PlayStation. Unfortunately, this game was never released on Linux or Mac."
"inform(name[Super Bomberman], release_year[1993], genres[action, strategy], platforms[Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[no])","Super Bomberman is an action and strategy game from 1993 for Nintendo consoles and PC only. It's an older console game that is, unfortunately, not available to play on Steam and does not offer support for Mac or Linux."
"inform(name[The Room], developer[Fireproof Games], rating[excellent], genres[indie, point-and-click, puzzle])",The Room is a great indie point-and-click puzzle game made by Fireproof Games.
"inform(name[Assetto Corsa], rating[good], genres[driving/racing, simulation, sport], player_perspective[first person, third person], has_multiplayer[yes])","Assetto Corsa is a good sport racing simulation game. It can be played in third person, or switched over to first person, and can also be played multiplayer."
"inform(name[Half-Life 2], genres[shooter], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Half-Life 2 is a shooter game developed for PlayStation, Xbox, and PC. It is currently available on Steam with releases for Linux and Mac."
"inform(name[Grand Theft Auto V], release_year[2013], developer[Rockstar North], genres[action-adventure, driving/racing, shooter])","Grand Theft Auto V is an action-adventure shooter with a lot of driving, developed by Rockstar North in 2013."
"inform(name[Metroid Prime Pinball], esrb[E (for Everyone)], rating[average], genres[pinball, puzzle], has_multiplayer[yes], platforms[Nintendo])",Metroid Prime Pinball is an E-rated puzzle pinball game for Nintendo DS. It features a multiplayer mode but received only average reviews.
"inform(name[StarCraft], release_year[1998], genres[real-time strategy], has_multiplayer[yes], platforms[PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","You might find StarCraft fun. It's a multiplayer RTS from 1998 for PC. It's not available on Steam and has Mac support, but no Linux support."
"inform(name[NHL 15], release_year[2014], rating[average], genres[simulation, sport], player_perspective[bird view])",NHL 15 is a bird view sport simulation game. It came out in 2014 and has average ratings.
"inform(name[Rise of the Tomb Raider], release_year[2015], rating[good], genres[action-adventure, shooter], has_multiplayer[yes])","If you want a action-adventure game, Rise of the Tomb Raider is a good multiplayer shooter from 2015."
"inform(name[A Way Out], developer[Hazelight Studios], esrb[M (for Mature)], genres[action-adventure], player_perspective[third person], has_multiplayer[yes])",A Way Out was developed by Hazelight Studios and is rated M (for Mature). It is an action-adventure game that can be played multiplayer in the third person perspective.
"inform(name[Driver], release_year[1999], genres[driving/racing, simulation], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[yes])",Driver is a driving simulation game that was released in 1999. It can be played on PlayStation and PC. It is released on Mac but not on Linux.
"inform(name[NHL 15], rating[average], genres[simulation, sport], platforms[PlayStation, Xbox])",NHL 15 is an average-rated sports sim which is available on PlayStation and Xbox.
"inform(name[SpellForce 3], genres[real-time strategy, role-playing], has_multiplayer[yes], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","SpellForce 3 is a PC game that is available on Steam, but not Linux or Mac. It is a multiplayer role-playing real-time strategy."
"inform(name[Tom Clancy's The Division], genres[role-playing, shooter, tactical], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Tom Clancy's The Division is a multiplayer, role-playing tactical shooter game available on PlayStation, Xbox, PC, and Steam. It is not yet available on Linux or Mac."
"inform(name[Super Bomberman], release_year[1993], rating[average], genres[action, strategy], platforms[Nintendo, PC], available_on_steam[no])",Super Bomberman is considered an average action strategy game for Nintendo and PC that was released in 1993. It is not currently available on Steam.
"inform(name[The Witcher 3: Wild Hunt], release_year[2015], rating[excellent], genres[action-adventure, role-playing], has_multiplayer[no], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","One of 2015's most highly rated games on PlayStation, Xbox, and PC was The Witcher 3: Wild Hunt. It's a single-player action-adventure RPG with excellent reviews, and it's available on Steam now."
"inform(name[Ori and the Blind Forest], release_year[2015], genres[adventure, platformer, puzzle], platforms[Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","For an adventure puzzle platformer, try Ori and the Blind Forest on either Xbox or PC. It was released in 2015 and is available on Steam. There is no release for Linux or Mac."
"inform(name[Metroid Prime Pinball], release_year[2005], developer[Fuse Games], esrb[E (for Everyone)], rating[average], genres[pinball, puzzle], has_multiplayer[yes], platforms[Nintendo])",Metroid Prime Pinball is a decent puzzle-pinball game suitable for all ages. Fuse Games made the game in 2005 for Nintendo consoles and included a multiplayer mode.
"inform(name[Max Payne], release_year[2001], rating[good], genres[action-adventure, shooter])",2001's Max Payne is a good action-adventure shooter.
"inform(name[Dance Dance Revolution Universe 3], rating[poor], genres[music], has_multiplayer[yes], platforms[Xbox])",Dance Dance Revolution Universe 3 is a poor music game for the Xbox. There is a multiplayer mode.
"inform(name[Far Cry 3], release_year[2012], esrb[M (for Mature)], genres[action-adventure, shooter], player_perspective[first person], has_multiplayer[yes])",Far Cry 3 is an action-adventure first person shooter. It was developed in 2012 with multiplayer features. It is rated M (for Mature).
"inform(name[Assassin's Creed II], genres[action-adventure, platformer], player_perspective[third person], has_multiplayer[no], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[yes])","Assassin's Creed II is a third person action-adventure platformer available for PlayStation, Xbox, PC and Mac. There is no Linux release and the game has no multiplayer mode."
"inform(name[Quantum Break], release_year[2016], esrb[M (for Mature)], genres[adventure, shooter])",Quantum Break is an adventure shooter game that was released in 2016. It was rated M (for Mature).
"inform(name[Portal 2], release_year[2011], genres[platformer, puzzle, shooter], player_perspective[first person])","Portal 2 is a combination of platformer, puzzle game, and shooter, all from a first person perspective. It's weird to think it came out all the way back in 2011 now."
"inform(name[Assassin's Creed Chronicles: India], release_year[2016], developer[Climax Studios], rating[poor], genres[action-adventure, platformer], player_perspective[side view], has_multiplayer[no])",Assassin's Creed Chronicles: India is a poor action-adventure platformer with a side view by Climax Studios. It was released in 2016. The game has no multiplayer mode.
"inform(name[Warcraft III: Reign of Chaos], developer[Blizzard Entertainment], rating[excellent], genres[real-time strategy], player_perspective[bird view])",Blizzard Entertainment created an excellent real-time strategy game called Warcraft III: Reign of Chaos that also provides bird view.
"inform(name[The Vanishing of Ethan Carter], release_year[2014], developer[The Astronauts], genres[adventure, indie], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","If you like indie adventure games, then you should try the 2014 video game created by the Astronauts called The Vanishing of Ethan Carter. It was released on PlayStation, Xbox, PC and is available on Steam, but it unfortunately has no support for Linux and Mac."
"inform(name[Spider-Man], exp_release_date[September 7, 2018], developer[Insomniac Games], genres[action-adventure], player_perspective[third person], platforms[PlayStation])","Spider-Man is a new third person action-adventure from Insomniac Games. It is set for release on September 7, 2018 for PlayStation."
"inform(name[The Legend of Zelda: Ocarina of Time], esrb[E (for Everyone)], rating[excellent], genres[action-adventure, puzzle, role-playing], player_perspective[bird view, third person])",The Legend of Zelda: Ocarina of Time is an awesome action-adventure puzzle role-playing game with both a bird's eye and a third person view. The game received an E (for Everyone) rating.
"inform(name[Stronghold 2], release_year[2005], esrb[T (for Teen)], genres[real-time strategy, simulation], has_multiplayer[yes], platforms[PC], available_on_steam[yes])","Stronghold 2 is a 2005 real-time strategy and simulation game rated T (for Teen). You can play it on PC only and, of course, it is available on Steam. The game has a multiplayer mode too."
"inform(name[Hellblade: Senua's Sacrifice], rating[excellent], genres[adventure, hack-and-slash, indie], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","One of my favorite indie, hack-and-slash adventures with a third person perspective is Hellblade: Senua's Sacrifice. It is an excellent game. You can get it on PlayStation, Xbox, or PC, and is available on Steam."
"inform(name[Age of Wonders II: The Wizard's Throne], esrb[T (for Teen)], rating[poor], genres[role-playing, turn-based strategy], player_perspective[bird view])",Age of Wonders II: The Wizard's Throne received mostly negative ratings. It's a turn-based strategy RPG that you play from a bird's eye view. It was rated T (for Teen).
"inform(name[Stronghold 2], release_year[2005], genres[real-time strategy, simulation], has_multiplayer[yes])","The simulation and real-time strategy game, Stronghold 2, was released in 2005 and has multiplayer."
"inform(name[Euro Truck Simulator], release_year[2008], developer[SCS Software], rating[poor], genres[driving/racing, simulation], player_perspective[first person])","Euro Truck Simulator was released in 2008 by SCS Software, but this game had poor success. If you are looking for a first person driving simulation game, you're better off looking elsewhere."
"inform(name[Transport Tycoon], genres[simulation, strategy], platforms[PC], available_on_steam[no])",Transport Tycoon is a simulation-strategy game for PC only. It is not available on Steam.
"inform(name[Undertale], release_year[2015], genres[adventure, indie, role-playing], player_perspective[bird view])",Undertale was released in 2015. It is an indie adventure role-playing game that is played from a bird view perspective.
"inform(name[The Room], developer[Fireproof Games], genres[indie, point-and-click, puzzle], platforms[PC], available_on_steam[yes])","The Room is a indie point-and-click puzzle game developed by Fireproof Games. You can only play it on PC, but it's available on Steam."
"inform(name[Football Manager 2015], release_year[2014], developer[Sports Interactive], rating[good], genres[simulation, sport, strategy], has_multiplayer[yes])",Football Manager 2015 is a good sport simulation and strategy game developed by Sports Interactive. It was released in 2014 and offers a multiplayer mode.
"inform(name[Heroes of Might and Magic III: The Restoration of Erathia], release_year[1999], rating[good], genres[turn-based strategy], player_perspective[bird view])",Heroes of Might and Magic III: The Restoration of Erathia is a good game that was released in 1999. It is a turn-based strategy game that is played in bird view perspective.
"inform(name[Far Cry 3], rating[good], genres[action-adventure, shooter], player_perspective[first person], has_multiplayer[yes])","A good first person, action-adventure shooter with multiplayer is Far Cry 3."
"inform(name[Assassin's Creed Chronicles: India], rating[poor], genres[action-adventure, platformer], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","Assassin's Creed Chronicles: India is an action-adventure platformer game. Though it's received some poor ratings and doesn't have a Mac or Linux release, it can be played on PlayStation, Xbox as well as PC."
"inform(name[Undertale], rating[excellent], genres[adventure, indie, role-playing], platforms[PlayStation, Nintendo Switch, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Undertale is an excellent indie adventure RPG available on Steam. You can play it on PlayStation, Nintendo Switch, and PC, and it is supported on Mac and Linux."
"inform(name[The Elder Scrolls Online], genres[MMORPG], player_perspective[first person, third person])",The Elder Scrolls Online is a first person (or third person) massively multiplayer online role-playing game.
"inform(name[Need for Speed: Shift], developer[Slightly Mad Studios], esrb[E (for Everyone)], genres[driving/racing, simulation], player_perspective[first person, third person], has_multiplayer[yes])",Need for Speed: Shift by Slightly Mad Studios is a driving sim rated E (for Everyone). There's first and third person views and multiplayer.
"inform(name[StarCraft], genres[real-time strategy], platforms[PC])",StarCraft is a real-time strategy that runs on PC only.
"inform(name[Need for Speed: The Run], release_year[2011], rating[average], genres[driving/racing], player_perspective[first person, third person], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[no])","Release in 2011, Need for Speed: The Run is an average racing game that can be played on PlayStation, Xbox, Nintendo and even PC, but it isn't available on Steam. You can switch between the first person and third person perspective."
"inform(name[The Room], developer[Fireproof Games], rating[excellent], genres[indie, point-and-click, puzzle])",The Room is an excellent indie point-and-click game with puzzles. It was developed by Fireproof Games.
"inform(name[The Sims], rating[good], genres[simulation, strategy], player_perspective[bird view], platforms[PlayStation, Xbox, Nintendo, PC], available_on_steam[no], has_linux_release[no], has_mac_release[yes])","The Sims is a bird's eye view simulation strategy game for PlayStation, Xbox, Nintendo, and PC. It received good ratings from players. It's not available on Steam and doesn't have a Linux release, but does have a Mac release."
"inform(name[Madden NFL 15], release_year[2014], genres[simulation, sport], player_perspective[bird view, third person], has_multiplayer[yes], platforms[PlayStation, Xbox])",Madden NFL 15 was released in 2014 on PlayStation and Xbox. It's a multiplayer sports simulation game that can be played from a third person or a bird view.
"inform(name[Need for Speed: The Run], release_year[2011], esrb[T (for Teen)], genres[driving/racing])",Need for Speed: The Run is a 2011 racing game that is rated T for teen audiences.
"inform(name[Assassin's Creed II], release_year[2009], esrb[M (for Mature)], genres[action-adventure, platformer])","Assassin's Creed II was released in 2009, with an M rating. It's an action-adventure platformer game."
"inform(name[Rollcage], release_year[1999], genres[action, driving/racing], platforms[PlayStation, PC], has_linux_release[no], has_mac_release[no])","If you like action games, Rollcage is a driving/racing game from 1999. It runs on PlayStation and PC. However, it is not supported on Linux or Mac."
"inform(name[NHL 15], release_year[2014], esrb[E 10+ (for Everyone 10 and Older)], rating[average], genres[simulation, sport], player_perspective[bird view], platforms[PlayStation, Xbox])","NHL 15 is a 2014 sport simulation game in bird view. It has an ESRB rating of E 10+ (for Everyone 10 and Older), and it runs on PlayStation and Xbox. The game received average ratings."
"inform(name[Dirt: Showdown], genres[driving/racing, sport], player_perspective[first person, third person], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[no])","Dirt: Showdown is a multiplayer sport racing game for PlayStation, Xbox, and PC only. There is no Steam release. You can play from both the first and third person perspective."
"inform(name[Assassin's Creed II], rating[good], genres[action-adventure, platformer], has_multiplayer[no], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[yes])","Assassin's Creed II is a good action-adventure platformer, but it doesn't have multiplayer. It was released for the PlayStation, Xbox, PC, and Mac, but not Linux."
"inform(name[Guitar Hero: Smash Hits], release_year[2009], esrb[T (for Teen)], rating[poor], genres[music], player_perspective[first person], platforms[PlayStation, Xbox, Nintendo])","Guitar Hero: Smash Hits is a first person music game from 2009, suitable for teenagers. It is available for PlayStation, Xbox, and Nintendo, but it has poor ratings."
"inform(name[Rise of the Tomb Raider], rating[good], genres[action-adventure, shooter], has_multiplayer[yes], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Rise of the Tomb Raider is a pretty good action-adventure shooter. Works on several systems, PlayStation, Xbox, PC and Steam, but doesn't have Linux or Mac support. It has multiplayer, which is cool."
"inform(name[SpellForce 3], release_year[2017], genres[real-time strategy, role-playing])","SpellForce 3 is a real-time strategy, role-playing game released in 2017."
"inform(name[Undertale], genres[adventure, indie, role-playing], player_perspective[bird view], platforms[PlayStation, Nintendo Switch, PC], has_linux_release[yes], has_mac_release[yes])","Undertale is an indie adventure role-playing game from a bird's eye view. The game was released for PlayStation, Nintendo Switch, and PC, as well as Linux and Mac."
"inform(name[SpellForce 3], release_year[2017], developer[Grimlore Games], genres[real-time strategy, role-playing], player_perspective[bird view], has_multiplayer[yes])","SpellForce 3 is a real-time strategy, role-playing game released by Grimlore Games in 2017. It has a multiplayer mode and bird view player perspective."
"inform(name[F1 2014], rating[average], genres[driving/racing, simulation, sport], player_perspective[first person, third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","F1 2014 is a sport racing simulation game available on PlayStation, Xbox, and PC via Steam. It's not available on Linux or Mac. As a racing game, it can be played in first or third person perspectives and got average reviews."
"inform(name[Lara Croft and the Temple of Osiris], rating[average], genres[action-adventure, puzzle, shooter])","Lara Croft and the Temple of Osiris is an action-adventure, puzzle-shooter with average ratings."
"inform(name[Might & Magic: Heroes VI], release_year[2011], genres[role-playing, turn-based strategy], platforms[PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","Might & Magic: Heroes VI came out in 2011 and is a role-playing turn-based strategy for PC only. The game is available on Steam, but not for Linux or Mac."
"inform(name[Payday 2], release_year[2013], developer[Overkill Software], rating[average], genres[role-playing, shooter], player_perspective[first person])",Payday 2 came out in 2013 from Overkill Software. It's a first person shooter game with role-playing and has received average ratings.
"inform(name[The Witcher 3: Wild Hunt], genres[action-adventure, role-playing], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","The Witcher 3: Wild Hunt is a third person action-adventure role-playing game for PlayStation, Xbox, and PC, and is available on Steam too."
"inform(name[Outlast II], release_year[2017], genres[adventure, indie], player_perspective[first person])","Outlast II is an adventure, indie game. It was released in 2017 and sports the first person perspective."
"inform(name[Tomb Raider: The Last Revelation], release_year[1999], esrb[T (for Teen)], genres[action-adventure, puzzle, shooter], player_perspective[third person], has_multiplayer[no])",Tomb Raider: The Last Revelation is a third person action-adventure puzzle shooter with no multiplayer. It was released in 1999 and is rated T (for Teen).
"inform(name[Super Bomberman], release_year[1993], developer[Hudson Soft], esrb[E (for Everyone)], rating[average], genres[action, strategy], player_perspective[bird view], has_multiplayer[no])",Super Bomberman was released in 1993 from Hudson Soft. It is an average action and strategy game played in the bird view point-of-view. It is not a multiplayer game and is rated E (for Everyone).
"inform(name[Alan Wake's American Nightmare], rating[poor], genres[action-adventure, shooter], has_multiplayer[no])",Alan Wake's American Nightmare is a poor action-adventure shooter without multiplayer.
"inform(name[Undertale], release_year[2015], genres[adventure, indie, role-playing], player_perspective[bird view])","Undertale is an indie adventure, role-playing game that is set in bird view perspective. It was released in 2015."
"inform(name[Rocket League], esrb[E (for Everyone)], genres[sport, vehicular combat], has_multiplayer[yes], platforms[PlayStation, Xbox, Nintendo Switch, PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","Give the game Rocket League a try for a multiplayer game that is rated to be good for everyone. You can play it on all the major platforms like PlayStation, Xbox, Nintendo Switch and even your PC. If you like the PC version you can find it on Steam and it will work with Mac or Linux systems as well. It's a fun vehicular combat sports game."
"inform(name[Euro Truck Simulator], release_year[2008], rating[poor], genres[driving/racing, simulation], player_perspective[first person])",Euro Truck Simulator is a lackluster 2008 first person driving simulator.
"inform(name[Age of Empires II: The Age of Kings], release_year[1999], genres[real-time strategy], player_perspective[bird view])",Age of Empires II: The Age of Kings was released in 1999 as a real-time strategy with a bird view perspective.
"inform(name[Rollcage], release_year[1999], esrb[E (for Everyone)], rating[average], genres[action, driving/racing], has_multiplayer[yes])","Rollcage is an E-rated action racing game with multiplayer. It came out in 1999 to middle-of-the-road ratings, no pun intended."
"inform(name[Tom Clancy's The Division], release_year[2016], rating[average], genres[role-playing, shooter, tactical])","If you want an average-rated, role-playing tactical shooter, try Tom Clancy's The Division. It was released in 2016."
"inform(name[Lara Croft and the Temple of Osiris], rating[average], genres[action-adventure, puzzle, shooter])","Lara Croft and the Temple of Osiris, an action-adventure shooter game with puzzle elements, has been receiving average ratings."
"inform(name[Commandos: Behind Enemy Lines], release_year[1998], developer[Pyro Studios], genres[strategy, tactical], player_perspective[bird view], platforms[PC], has_linux_release[no], has_mac_release[no])","If you're interested in a tactical, strategy, bird view game, try Commandos: Behind Enemy Lines. It was released by Pyro Studios in 1998 for PC. It is not on Linux or Mac."
"inform(name[Diablo II], release_year[2000], developer[Blizzard North], rating[good], genres[hack-and-slash, role-playing], player_perspective[bird view], has_multiplayer[yes])","The role-playing multiplayer game, Diablo II, was developed in 2000 by Blizzard North. This hack-and-slash game is played on a bird view and has good ratings."
"inform(name[Rocket League], rating[good], genres[sport, vehicular combat], has_multiplayer[yes])",Rocket League is a sports and vehicular combat game with a good rating and multiplayer mode.
"inform(name[Super Bomberman], release_year[1993], rating[average], genres[action, strategy], player_perspective[bird view], has_multiplayer[no])","The action and strategy game, Super Bomberman, was released in 1993 with a bird view and has no multiplayer. This game has received average ratings."
"inform(name[Mass Effect 2], release_year[2010], genres[action-adventure, role-playing, shooter], player_perspective[third person], platforms[PlayStation, Xbox, PC], available_on_steam[yes])","2010's Mass Effect 2 is a third person action-adventure role-playing shooter that is available on Steam, PlayStation, Xbox, and PC."
"inform(name[The Elder Scrolls Online], release_year[2014], developer[ZeniMax Online Studios], esrb[M (for Mature)], genres[MMORPG], player_perspective[first person, third person])","The Elder Scrolls Online is a ZeniMax Online Studios MMORPG from 2014. There's first person and third person views, and it's rated M (for Mature)."
"inform(name[Commandos: Behind Enemy Lines], esrb[T (for Teen)], rating[good], genres[strategy, tactical], player_perspective[bird view], platforms[PC], available_on_steam[yes])","Commandos: Behind Enemy Lines is a good rated strategy, tactical PC game that is available on Steam. It has a T rating (For Teen) and is played from a bird's eye view."
"inform(name[Undertale], release_year[2015], rating[excellent], genres[adventure, indie, role-playing], has_multiplayer[no], platforms[PlayStation, Nintendo Switch, PC], has_linux_release[yes], has_mac_release[yes])","If you love adventure and role-playing games, try Undertale, although keep in mind that it's single-player only. It's an excellent indie game from 2015 released for PlayStation, Nintendo Switch, and PC. You can even play it on Linux or Mac."
"inform(name[Hitman 2], exp_release_date[November 13, 2018], genres[shooter, tactical], player_perspective[third person], platforms[PlayStation, Xbox, PC])","Hitman 2 is coming out on November 13, 2018 for PlayStation, Xbox, and PC. It's going to be a third person shooter with a ton of tactical elements that will make you slow down and think about how to get through a level."
"inform(name[Tetris], genres[arcade, puzzle, strategy], player_perspective[side view])",Tetris is a side view strategic puzzle arcade game.
"inform(name[Silent Hill 2], release_year[2001], genres[action-adventure, puzzle], player_perspective[third person], has_multiplayer[no])","Silent Hill 2 from 2001 is a single-player, action-adventure puzzle game. It has a third person point of view."
"inform(name[Assetto Corsa], esrb[E (for Everyone)], genres[driving/racing, simulation, sport], platforms[PlayStation, Xbox, PC], has_linux_release[yes], has_mac_release[no])","Assetto Corsa is a sport racing simulator that has been released on PlayStation, Xbox, and PC, including the Linux processor but not the Mac. It is rated E (for Everyone)."
"inform(name[Rise of the Tomb Raider], release_year[2015], genres[action-adventure, shooter], has_multiplayer[yes])",Rise of the Tomb Raider is a 2015 multiplayer action-adventure shooter.
"inform(name[NHL 15], release_year[2014], esrb[E 10+ (for Everyone 10 and Older)], rating[average], genres[simulation, sport], player_perspective[bird view], has_multiplayer[yes], platforms[PlayStation, Xbox])","NHL 15 is a game with ESRB: E 10+ (for Everyone 10 and Older) in the simulation sport genre. It has a bird view player perspective, it is multiplayer, and it's available for PlayStation and Xbox. It was released in 2014 and has an average rating."
"inform(name[Tony Hawk's Pro Skater 3], release_year[2001], developer[Neversoft Entertainment], genres[sport], player_perspective[third person])","Tony Hawk's Pro Skater 3 is a sports game from 2001 by Neversoft Entertainment. In it, you perform skate-boarding tricks from a third person view."
"inform(name[Mass Effect 2], release_year[2010], rating[excellent], genres[action-adventure, role-playing, shooter], player_perspective[third person], has_multiplayer[no])","Mass Effect 2 was an amazing game that combined action and adventure, RPG, and shooting elements to the delight of fans and critics in 2010. The game is limited to a third person perspective, and unfortunately there is no multiplayer function."
"inform(name[Worms: Reloaded], genres[action, platformer, strategy], platforms[PC], has_linux_release[yes], has_mac_release[yes])",Worms: Reloaded is a strategy platformer game. This action game is available for PC on both Mac and Linux platforms.
"inform(name[The Forest of Doom], developer[Tin Man Games], genres[role-playing, text adventure], has_multiplayer[no], platforms[PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])","The Forest of Doom is a text adventure RPG released by Tin Man Games. Naturally, there is no multiplayer, but the game is available on Steam for PC, Mac, and Linux."
"inform(name[Metroid Prime Pinball], release_year[2005], developer[Fuse Games], esrb[E (for Everyone)], rating[average], genres[pinball, puzzle], has_multiplayer[yes], platforms[Nintendo])",Metroid Prime Pinball is an average pinball puzzle game that came out in 2005 from Fuse Games for Nintendo only. This game is rated E (for Everyone) and has multiplayer functionality.
"inform(name[Rollcage], developer[Attention To Detail], esrb[E (for Everyone)], rating[average], genres[action, driving/racing])",Rollcage is an action racing game developed by Attention To Detail. The game is rated E (for Everyone) and was released to average critic scores.
"inform(name[Worms: Reloaded], rating[average], genres[action, platformer, strategy], has_multiplayer[yes], platforms[PC], available_on_steam[yes], has_linux_release[yes], has_mac_release[yes])",Worms: Reloaded is an okay strategic action platformer on the PC. Get it through Steam and there is Linux and Mac support. There is also multiplayer.
"inform(name[Need for Speed: Payback], rating[poor], genres[driving/racing], player_perspective[third person], platforms[PlayStation, Xbox, PC], has_linux_release[no], has_mac_release[no])","The game Need for Speed: Payback, available on PlayStation, Xbox, and PC, is an option for third person driving/racing enthusiasts. However, it has poor reviews and does not feature Linux or Mac options."
"inform(name[The Vanishing of Ethan Carter], release_year[2014], developer[The Astronauts], genres[adventure, indie], platforms[PlayStation, Xbox, PC], available_on_steam[yes], has_linux_release[no], has_mac_release[no])","The Vanishing of Ethan Carter is an indie adventure game that was released in 2014 by developer The Astronauts. It's available for the PlayStation, Xbox, and PC, and is available for download on Steam. However, it's not supported on Linux or Mac."
"inform(name[Half-Life 2], release_year[2004], esrb[M (for Mature)], genres[shooter], has_multiplayer[no], platforms[PlayStation, Xbox, PC], has_linux_release[yes], has_mac_release[yes])","Half-Life 2 is a 2004 single-player shooter that is rated M (for Mature). It is out for PlayStation, Xbox, and PC, and it is supported by Mac and Linux."
"inform(name[Might & Magic: Heroes VI], release_year[2011], rating[average], genres[role-playing, turn-based strategy], has_multiplayer[yes])",Might & Magic: Heroes VI is a turn-based strategy RPG that supports multiplayer and was released in 2011 it received overall average reviews.
